CROP,DISTRICT,YEAR,SEASON,AREA,PRODUCTION
Arhar,24 Parganas North,"1,998",Kharif     ,61,50
Arhar,24 Parganas North,"1,999",Kharif     ,74,90
Arhar,24 Parganas North,"2,000",Kharif     ,43,30
Arhar,24 Parganas North,"2,001",Kharif     ,27,40
Arhar,24 Parganas North,"2,003",Kharif     ,10,10
Arhar,24 Parganas North,"2,004",Rabi       ,4,4
Arhar,24 Parganas North,"2,005",Rabi       ,40,44
Arhar,24 Parganas North,"2,006",Rabi       ,35,17
Arhar,24 Parganas North,"2,007",Rabi       ,9,10
Arhar,24 Parganas North,"2,016",Rabi       ,22,27
Arhar,24 Parganas North,"2,017",Rabi       ,26,43
Arhar,24 Parganas North,"2,018",Rabi       ,6,9
Arhar,24 Parganas South,"1,998",Kharif     ,3,2
Arhar,24 Parganas South,"2,004",Rabi       ,19,17
Arhar,24 Parganas South,"2,005",Rabi       ,22,24
Arhar,24 Parganas South,"2,007",Rabi       ,9,10
Arhar,24 Parganas South,"2,008",Rabi       ,50,103
Arhar,24 Parganas South,"2,009",Rabi       ,50,66
Arhar,24 Parganas South,"2,010",Rabi       ,455,740
Arhar,24 Parganas South,"2,011",Rabi       ,436,195
Arhar,24 Parganas South,"2,012",Rabi       ,514,721
Arhar,24 Parganas South,"2,013",Rabi       ,437,680
Arhar,24 Parganas South,"2,014",Rabi       ,514,884
Arhar,24 Parganas South,"2,015",Rabi       ,445,291
Arhar,24 Parganas South,"2,016",Rabi       ,499,618
Arhar,24 Parganas South,"2,017",Rabi       ,18,30
Arhar,24 Parganas South,"2,018",Rabi       ,253,396
Arhar,24 Parganas South,"2,019",Rabi       ,353,"1,154"
Arhar,Alipurduar,"2,017",Rabi       ,135,223
Arhar,Alipurduar,"2,018",Rabi       ,48,75
Arhar,Alipurduar,"2,019",Rabi       ,98,320
Arhar,Bankura,"1,998",Kharif     ,10,10
Arhar,Bankura,"1,999",Kharif     ,60,37
Arhar,Bankura,"2,000",Kharif     ,472,320
Arhar,Bankura,"2,001",Kharif     ,308,145
Arhar,Bankura,"2,002",Kharif     ,22,16
Arhar,Bankura,"2,003",Kharif     ,"1,160",878
Arhar,Bankura,"2,004",Rabi       ,2,2
Arhar,Bankura,"2,005",Rabi       ,21,7
Arhar,Bankura,"2,006",Rabi       ,13,8
Arhar,Bankura,"2,007",Rabi       ,15,7
Arhar,Bankura,"2,008",Rabi       ,6,3
Arhar,Bankura,"2,015",Rabi       ,11,12
Arhar,Bankura,"2,016",Rabi       ,11,12
Arhar,Bankura,"2,017",Rabi       ,72,116
Arhar,Bankura,"2,018",Rabi       ,17,23
Arhar,Bankura,"2,019",Rabi       ,125,145
Arhar,Birbhum,"1,998",Kharif     ,104,70
Arhar,Birbhum,"1,999",Kharif     ,75,46
Arhar,Birbhum,"2,000",Kharif     ,128,80
Arhar,Birbhum,"2,001",Kharif     ,36,17
Arhar,Birbhum,"2,002",Kharif     ,26,20
Arhar,Birbhum,"2,003",Kharif     ,23,23
Arhar,Birbhum,"2,004",Rabi       ,10,6
Arhar,Birbhum,"2,005",Rabi       ,21,17
Arhar,Birbhum,"2,006",Rabi       ,2,1
Arhar,Birbhum,"2,007",Rabi       ,26,12
Arhar,Birbhum,"2,008",Rabi       ,39,19
Arhar,Birbhum,"2,009",Rabi       ,45,10
Arhar,Birbhum,"2,011",Rabi       ,11,4
Arhar,Birbhum,"2,012",Rabi       ,2,3
Arhar,Birbhum,"2,015",Rabi       ,349,270
Arhar,Birbhum,"2,016",Rabi       ,337,417
Arhar,Birbhum,"2,017",Rabi       ,850,"1,403"
Arhar,Birbhum,"2,018",Rabi       ,"1,779","2,782"
Arhar,Birbhum,"2,019",Rabi       ,"1,910","6,244"
Arhar,Coochbehar,"1,998",Kharif     ,151,120
Arhar,Coochbehar,"1,999",Kharif     ,4,3
Arhar,Coochbehar,"2,000",Kharif     ,19,10
Arhar,Coochbehar,"2,001",Kharif     ,3,2
Arhar,Coochbehar,"2,002",Kharif     ,72,65
Arhar,Coochbehar,"2,003",Kharif     ,2,2
Arhar,Coochbehar,"2,005",Rabi       ,13,11
Arhar,Coochbehar,"2,006",Rabi       ,16,4
